strain,ens_gene,log_bleach,log_settle
BRC20067,WBGene00000140,14.1367125045652,13.408455063374
BRC20067,WBGene00000142,11.5163320567813,11.7175656209673
BRC20067,WBGene00000143,11.0453939561591,11.0561997610282
BRC20067,WBGene00000144,9.54831660215599,9.55746645140801
BRC20067,WBGene00000145,10.2854454017739,10.2569542591723
BRC20067,WBGene00000146,12.5154580994733,12.4456882654457
BRC20067,WBGene00000147,9.8186970765713,9.76678617433418
BRC20067,WBGene00000148,10.4634230165474,10.6338937563355
BRC20067,WBGene00000149,12.8595106093132,12.6458056481921
BRC20067,WBGene00000150,9.87841725784717,9.90391088289822
BRC20067,WBGene00000151,10.99781790723,11.1622075473871
BRC20067,WBGene00000155,12.3365392369151,12.4120294246604
BRC20067,WBGene00000156,12.1451276955255,12.0893196917976
BRC20067,WBGene00000157,8.31570534207314,8.54356003689442
BRC20067,WBGene00000158,11.6647959870409,11.6634423434461
BRC20067,WBGene00000159,10.8038459385155,11.0273940441367
BRC20067,WBGene00000160,11.8020236010279,11.788470791031
BRC20067,WBGene00000161,10.5558731041505,10.6878026825637
BRC20067,WBGene00000162,11.4305964122424,11.3234861702632
BRC20067,WBGene00000163,11.7797809345049,11.7957779495318
BRC20067,WBGene00000164,8.7120822377322,8.9175912133807
BRC20067,WBGene00000165,8.99552131833442,9.85977775030147
BRC20067,WBGene00000166,5.23248802345199,5.29267534328525
BRC20067,WBGene00000168,11.7772139891249,11.7293161565639
BRC20067,WBGene00000169,11.7215801396857,10.8097627310674
BRC20067,WBGene00000170,11.5257161765103,11.1956635638437
